N,Method,Overall_mean,test_mean,Overall_std,test_std
1,MV,46.48625294579734,46.48625294579734,0.8479425518930951,0.8479425518930951
1,dORM,46.48625294579734,46.48625294579734,0.8479425518930951,0.8479425518930951
1,dPRM,46.48625294579734,46.48625294579734,0.8479425518930951,0.8479425518930951
1,gORM,46.48625294579734,46.48625294579734,0.8479425518930951,0.8479425518930951
1,gPRM,46.48625294579734,46.48625294579734,0.8479425518930951,0.8479425518930951
1,Pass@N,46.48625294579734,46.48625294579734,0.8479425518930951,0.8479425518930951
2,MV,46.48625294579734,46.48625294579734,0.8479425518930951,0.8479425518930951
2,dORM,52.77533385703063,52.77533385703063,0.7329657330733748,0.7329657330733748
2,dPRM,52.37863315003927,52.37863315003927,0.7635231892747097,0.7635231892747097
2,gORM,54.830322073841316,54.830322073841316,0.7541646198863624,0.7541646198863624
2,gPRM,52.86017282010997,52.86017282010997,0.8293442104902911,0.8293442104902911
2,Pass@N,58.822466614296935,58.822466614296935,0.794970565311275,0.794970565311275
4,MV,48.29615082482325,48.29615082482325,0.6987116641854535,0.6987116641854535
4,dORM,57.23959151610368,57.23959151610368,0.7317157113530656,0.7317157113530656
4,dPRM,56.7376276512176,56.7376276512176,0.6506156030496595,0.6506156030496595
4,gORM,60.988216810683426,60.988216810683426,0.7301589430926011,0.7301589430926011
4,gPRM,57.7478397486253,57.7478397486253,0.7462814734087726,0.7462814734087726
4,Pass@N,69.4878240377062,69.4878240377062,0.726549750349989,0.726549750349989
8,MV,49.27808326787118,49.27808326787118,0.5443209979383455,0.5443209979383455
8,dORM,60.21131186174391,60.21131186174391,0.5770951215459958,0.5770951215459958
8,dPRM,59.55773762765122,59.55773762765122,0.5796088955496269,0.5796088955496269
8,gORM,64.7415553809898,64.7415553809898,0.5367894800707023,0.5367894800707023
8,gPRM,61.334642576590724,61.334642576590724,0.6948681270808781,0.6948681270808781
8,Pass@N,77.84917517674783,77.84917517674783,0.534746236447037,0.534746236447037
16,MV,49.64650432050274,49.64650432050274,7.105427357601002e-15,7.105427357601002e-15
16,dORM,62.450903377847595,62.450903377847595,7.105427357601002e-15,7.105427357601002e-15
16,dPRM,60.72270227808327,60.72270227808327,7.105427357601002e-15,7.105427357601002e-15
16,gORM,66.6142969363708,66.6142969363708,2.842170943040401e-14,2.842170943040401e-14
16,gPRM,63.62922230950513,63.62922230950513,2.1316282072803006e-14,2.1316282072803006e-14
16,Pass@N,83.97486252945795,83.97486252945795,1.4210854715202004e-14,1.4210854715202004e-14
